Modelo,Precio (€),Año,Kilometraje (kms),Color,País,Hashtags
Tesla Model X,"84,500",2023,"16,910",Black,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #solid black color, #five seat interior, #tow package"
Tesla Model X Plaid,"86,500",2023,"21,472",Silver,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #midnight silver metallic col…, #six seat interior, #tow package"
Tesla Model X Plaid,"87,600",2023,"20,073",White,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #six seat interior, #tow package"
Tesla Model X,"91,210",2023,"1,703",Blue,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #deep blue metallic color, #seven seat interior, #tow package"
Tesla Model X,"96,120",2024,"3,632",White,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #pearl white multi-coat color, #five seat interior, #tow package"
Tesla Model X Plaid,"97,375",2023,"3,525",White,Portugal,"#portugal, #autopilot, #premium connectivity, #left hand drive, #pearl white multi-coat color, #six seat interior, #tow package"
Tesla Model X,"94,000",2023,"12,384",Silver,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #midnight silver metallic col…, #seven seat interior, #tow package"
Tesla Model X,"99,990",2024,23,White,France,"#france, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #five seat interior, #tow package"
Tesla Model X,"100,580",2024,"5,519",White,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #pearl white multi-coat color, #six seat interior, #tow package"
Tesla Model X,"100,860",2024,"3,945",Black,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #solid black color, #five seat interior, #tow package"
Tesla Model X,"101,230",2024,953,White,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #pearl white multi-coat color, #five seat interior, #tow package"
Tesla Model X,"102,820",2024,"4,378",Black,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #solid black color, #seven seat interior, #tow package"
Tesla Model X,"102,840",2023,"1,405",White,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #five seat interior, #tow package"
Tesla Model X,"103,050",2024,18,Black,France,"#france, #autopilot, #premium connectivity, #left hand drive, #solid black color, #seven seat interior, #tow package"
Tesla Model X,"104,370",2023,31,White,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #five seat interior, #tow package"
Tesla Model X,"105,010",2024,194,Grey,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #stealth grey color, #seven seat interior, #tow package"
Tesla Model X Plaid,"106,270",2024,33,White,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #pearl white multi-coat color, #six seat interior, #tow package"
Tesla Model X,"106,445",2024,31,Blue,Portugal,"#portugal, #autopilot, #premium connectivity, #left hand drive, #deep blue metallic color, #seven seat interior, #tow package"
Tesla Model X,"106,855",2023,"14,782",Blue,Portugal,"#portugal, #autopilot, #premium connectivity, #left hand drive, #deep blue metallic color, #six seat interior, #tow package"
Tesla Model X,"107,210",2023,"3,253",White,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #pearl white multi-coat color, #seven seat interior, #tow package"
Tesla Model X,"108,075",2023,34,Black,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #solid black color, #five seat interior, #tow package"
Tesla Model X,"108,190",2024,49,Black,France,"#france, #autopilot, #standard connectivity, #left hand drive, #solid black color, #seven seat interior, #tow package"
Tesla Model X,"109,200",2024,26,Red,France,"#france, #autopilot, #standard connectivity, #left hand drive, #ultra red color, #seven seat interior, #tow package"
Tesla Model X,"109,290",2023,86,Silver,France,"#france, #autopilot, #standard connectivity, #left hand drive, #midnight silver metallic col…, #five seat interior, #tow package"
Tesla Model X,"109,820",2024,23,Desconocido,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #six seat interior, #tow package"
Tesla Model X,"110,100",2024,"3,063",Black,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #solid black color, #six seat interior, #tow package"
Tesla Model X,"110,270",2024,23,Desconocido,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #seven seat interior, #tow package"
Tesla Model X,"110,370",2024,20,Black,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #solid black color, #six seat interior, #tow package"
Tesla Model X,"111,370",2024,17,Red,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #ultra red color, #six seat interior, #tow package"
Tesla Model X Plaid,"111,670",2024,59,White,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #pearl white multi-coat color, #six seat interior, #tow package"
Tesla Model X Plaid,"112,420",2024,31,Desconocido,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #six seat interior, #tow package"
Tesla Model X,"112,490",2024,0,White,France,"#france, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #seven seat interior, #tow package"
Tesla Model X,"112,575",2024,20,Black,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #solid black color, #six seat interior, #tow package"
Tesla Model X,"112,770",2024,0,Black,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #solid black color, #six seat interior, #tow package"
Tesla Model X,"112,770",2024,20,Blue,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #deep blue metallic color, #six seat interior, #tow package"
Tesla Model X Plaid,"113,500",2024,401,Blue,France,"#france, #autopilot, #premium connectivity, #left hand drive, #deep blue metallic color, #six seat interior, #tow package"
Tesla Model X Plaid,"113,530",2024,197,Red,France,"#france, #autopilot, #standard connectivity, #left hand drive, #ultra red color, #six seat interior, #tow package"
Tesla Model X,"113,570",2024,0,White,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #seven seat interior, #tow package"
Tesla Model X,"113,575",2024,17,Red,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #ultra red color, #six seat interior, #tow package"
Tesla Model X,"113,770",2024,28,Grey,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #stealth grey color, #six seat interior, #tow package"
Tesla Model X Plaid,"114,050",2024,32,Grey,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #stealth grey color, #six seat interior, #tow package"
Tesla Model X,"114,670",2024,0,White,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #six seat interior, #tow package"
Tesla Model X,"114,770",2024,31,Red,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #ultra red color, #six seat interior, #tow package"
Tesla Model X,"115,075",2024,0,Black,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #solid black color, #six seat interior, #tow package"
Tesla Model X,"115,075",2024,20,Blue,Portugal,"#portugal, #autopilot, #premium connectivity, #left hand drive, #deep blue metallic color, #six seat interior, #tow package"
Tesla Model X,"115,290",2024,20,Black,France,"#france, #autopilot, #standard connectivity, #left hand drive, #solid black color, #six seat interior, #tow package"
Tesla Model X,"115,725",2024,0,White,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #seven seat interior, #tow package"
Tesla Model X,"115,825",2023,116,Blue,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #deep blue metallic color, #seven seat interior, #tow package"
Tesla Model X,"116,075",2024,28,Grey,Portugal,"#portugal, #autopilot, #premium connectivity, #left hand drive, #stealth grey color, #six seat interior, #tow package"
Tesla Model X,"116,170",2023,0,Black,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #solid black color, #seven seat interior, #tow package"
Tesla Model X Plaid,"116,665",2024,25,Red,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #ultra red color, #six seat interior, #tow package"
Tesla Model X,"116,925",2024,0,White,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #six seat interior, #tow package"
Tesla Model X,"117,075",2024,31,Red,Portugal,"#portugal, #autopilot, #premium connectivity, #left hand drive, #ultra red color, #six seat interior, #tow package"
Tesla Model X,"117,090",2023,26,Silver,France,"#france, #autopilot, #standard connectivity, #left hand drive, #midnight silver metallic col…, #six seat interior, #tow package"
Tesla Model X,"117,270",2024,26,Red,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #ultra red color, #six seat interior, #tow package"
Tesla Model X Plaid,"117,590",2024,20,Grey,France,"#france, #autopilot, #standard connectivity, #left hand drive, #stealth grey color, #six seat interior, #tow package"
Tesla Model X,"118,690",2023,23,Black,France,"#france, #autopilot, #standard connectivity, #left hand drive, #solid black color, #six seat interior, #tow package"
Tesla Model X,"118,690",2023,60,Blue,France,"#france, #autopilot, #standard connectivity, #left hand drive, #deep blue metallic color, #six seat interior, #tow package"
Tesla Model X Plaid,"119,170",2024,34,Desconocido,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #six seat interior, #tow package"
Tesla Model X,"119,525",2024,26,Red,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #ultra red color, #six seat interior, #tow package"
Tesla Model X Plaid,"119,990",2024,23,Desconocido,France,"#france, #autopilot, #standard connectivity, #left hand drive, #six seat interior, #tow package"
Tesla Model X Plaid,"120,270",2024,25,Red,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #ultra red color, #six seat interior, #tow package"
Tesla Model X,"120,425",2023,26,Silver,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #midnight silver metallic col…, #six seat interior, #tow package"
Tesla Model X,"120,670",2024,17,Red,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #ultra red color, #six seat interior, #tow package"
Tesla Model X Plaid,"121,870",2024,0,White,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #six seat interior, #tow package"
Tesla Model X,"122,025",2023,25,Black,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #solid black color, #six seat interior, #tow package"
Tesla Model X,"123,025",2024,17,Red,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #ultra red color, #six seat interior, #tow package"
Tesla Model X Plaid,"123,925",2024,0,White,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #six seat interior, #tow package"
Tesla Model X Plaid,"124,890",2023,31,Blue,France,"#france, #autopilot, #standard connectivity, #left hand drive, #deep blue metallic color, #six seat interior, #tow package"
Tesla Model X Plaid,"126,525",2024,31,Red,Portugal,"#portugal, #autopilot, #premium connectivity, #left hand drive, #ultra red color, #six seat interior, #tow package"
Tesla Model X Plaid,"126,870",2024,0,Red,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #ultra red color, #six seat interior, #tow package"
Tesla Model X Plaid,"129,025",2024,0,Red,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #ultra red color, #six seat interior, #tow package"
